título;título_alternativo;criador;contribuidor;assunto;resumo;descrição;editora;edição;data;tipo;identificador;fonte;idioma;cobertura;nível_de_educação_da_audiência;extensão;direitos;citação_bibliográfica;arquivo;coleção
"""O Tabuleiro da Baiana""";;Sonia Rosa ;Rosinha Campos;Culturas afro-brasileiras, culinária, tradição baiana;A obra traz para o universo infantil a graça e o encanto desse personagem tão típico do cenário brasileiro: a vendedoras de quitutes que ficaram conhecidas em todo o país como “baianas”. As roupas, o tabuleiro e os pratos típicos da culinária baiana são sua “marca registrada”.;;Pallas ;1ª;2006;Físico;;https://pallaseditora.com.br/produto/O_tabuleiro_da_baiana/148/;pt-BR;;infantojuvenil;16;;ROSA, Sonia. O tabuleiro da baiana. Rio de Janeiro: Editora Pallas, 2006.;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/186602?guid=1726344023424&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726344023424%26quantidadePaginas%3d1%26codigoRegistro%3d186602%23186602&i=16;Afro-brasileira
"""Capoeira""";;Sonia Rosa ;Rosinha Campos;Culturas afro-brasieiras, Capoeira ,Angola, Brasil, Escravidão;O primeiro livro da coleção Lembranças Africanas traz todo o encanto da capoeira, luta gingada que surgiu no Brasil, a partir dos negros bantos de Angola, que vieram para o Brasil como escravos ― uma forma de defesa nas lutas contra a escravidão.;;Pallas ;1ª;2004;Físico;;https://pallaseditora.com.br/produto/Capoeira/144/;pt-BR;;infantojuvenil;16;;ROSA,Sonia. Capoeira. Rio de Janeiro: Editora Pallas, 2004.;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/117956?guid=1726344221459&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726344221459%26quantidadePaginas%3d2%26codigoRegistro%3d117956%23117956&i=45;Afro-brasileira
"""Jongo""";;Sonia Rosa ;Rosinha Campos;Culturas afro-brasileiras, jongo, música, tradição africana ;"O terceiro volume da coleção Lembranças Africanas conta a história do jongo, música e dança criadas pelos escravos nos terreiros das fazendas do Rio de Janeiro, São Paulo e Minas Gerais, e precursoras do nosso conhecido samba. As alegres imagens de Rosinha Campos, ""dançam"" ao ritmo dessa tradição.";;Pallas ;1ª;2004;Físico;;https://pallaseditora.com.br/produto/Jongo/146/;pt-BR;;infantojuvenil;16;;ROSA, Sonia. Jongo. Rio de Janeiro: Editora Pallas, 2004.;;Afro-brasileira
"""Feijoada""";;Sonia Rosa ;Rosinha Campos;Culturas afro-brasileiras, culinária, feijoada, ancestralidade ;O livro conta como uma iguaria originalmente trazida pelos portugueses ― feijão com miúdos de porco ― foi adotada pelos escravos, que a ela adicionaram outros sabores: feijão-mulatinho e preto do Brasil, arroz, couve, farofa, laranjas.;;Pallas ;1ª;2005;Físico;;https://pallaseditora.com.br/produto/Feijoada/147/;pt-BR;;infantojuvenil;16;;ROSA, Sonia. Feijoada. Rio de Janeiro: Editora Pallas, 2005.;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/186091?guid=1726344867468&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726344867468%26quantidadePaginas%3d1%26codigoRegistro%3d186091%23186091&i=2;Afro-brasileira
""" Falando Banto""";;Eneida Duarte Gaspar;Victor Tavares;Culturas afro-brasileiras, cultura banto, palavras de origem africana;Este livro mostra, em dez poemas, como, ao tratar de coisas simples do cotidiano, estamos Falando banto! O vocabulário é uma das contribuições africanas ao nosso país. Acompanha um glossário com as palavras de origem banta presentes nos textos.;;Pallas ;1ª;2007;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/187452?guid=1716212678916&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716212678916%26quantidadePaginas%3d1%26codigoRegistro%3d187452%23187452&i=2;pt-BR;;infantojuvenil;28;;GASPAR, Eneida Duarte. Falando Banto. Rio de Janeiro: Editora Pallas, 2007.;https://acervo.bn.gov.br/sophia_web/capa/capa/187452;Afro-brasileira
"""Contos e lendas afro-brasileiros: a criação do mundo""";;Reginaldo Prandi;Joana Lira;Culturas afro-brasileiras, mitologia iorubá, orixás;Capturados e transportados ao Brasil como escravos, os africanos trouxeram consigo seus contos e suas lendas. Entre eles está a sua versão mítica da criação do mundo, narrada em histórias repletas de aventuras comoventes e até mesmo engraçadas.;;Seguinte;2ª;2007;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/232343?guid=1716212725258&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716212725258%26quantidadePaginas%3d1%26codigoRegistro%3d232343%23232343&i=4;pt-BR;;infantojuvenil;224;;PRANDI, Reginaldo. Contos e Lendas Afro-Brasileiros: a Criação do Mundo. São Paulo: Editora Seguinte. 2007.;https://acervo.bn.gov.br/sophia_web/capa/capa/232343;Afro-brasileira
"""Eleguá""";;Carolina Cunha;Carolina Cunha;Culturas afro-brasileiras, orixás, mitologia iorubá, Exu;Eleguá é o mais poderoso dos orixás e o menor de todos eles, porque é uma criança. Guardião das portas das casas e detentor das chaves do Céu e da Terra, trabalha como espião e mensageiro dos demais orixás e pode influir nos acontecimentos, é o orixá dos destinos. No Brasil também é conhecido como Exu Elegbára.;;SM;1ª;2007;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/181165?guid=1716212817910&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716212817910%26quantidadePaginas%3d1%26codigoRegistro%3d181165%23181165&i=1;pt-BR;;infantojuvenil;64;;CUNHA,Carolina. Eleguá. São Paulo: Editora SM, 2007.;https://acervo.bn.gov.br/sophia_web/capa/capa/181165;Afro-brasileira
"""Yemanjá""";;Carolina Cunha;Carolina Cunha;Culturas afro-brasileiras, orixás, mitologia iorubá, Yemanjá;Yemanjá, rainha das águas, é um orixá muito conhecido e respeitado. Na África, é a deusa dos antigos Egbá, povo nigeriano de língua yorubá, representada por uma mulher grávida. No Brasil e em Cuba, é uma sereia, a quem se fazem oferendas, especialmente nas comunidades que vivem à beira-mar. Em 2 de fevereiro, realiza-se a festa em sua homenagem, atraindo multidões às praias brasileiras.;;SM;1ª;2007;Físico;857675181X;https://www.amazon.com.br/Yemanj%C3%A1-Carolina-Cunha/dp/857675181X/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1QMGOTAOWZASP&dib=eyJ2IjoiMSJ9.rVKbc5R6TyYzJAn34MNMVgjMjKnlZN2pttQlAlZ75nZ736s76HGOIF9RtS3msDfjFchqDw2eiZRK0aKiQq1CTfXCxzUnmKbKHQQMP1pPFzG9J_OvqAu4HJeHAADiz4bww_Y41oyTwpxs4datnMFJlw.VOYvvftzLUrV-LE8QJ4Xm8tpwdUYaK-m-0fNgb2AX3s&dib_tag=se&keywords=Yemanj%C3%A1+carolina&qid=1716212953&sprefix=yemanj%C3%A1+carolina%2Caps%2C318&sr=8-1;pt-BR;;infantojuvenil;64;;CUNHA, Carolina. Yemanjá. São Paulo: Editora SM: 2007.;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/181164?guid=1726347645235&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726347645235%26quantidadePaginas%3d1%26codigoRegistro%3d181164%23181164&i=9;Afro-brasileira
"""Berimbau mandou te chamar""";;Bia Hetzel;Mariana Massarani;Culturas afro-brasileiras, capoeira, berimbau;Álbum ilustrado para estimular a curiosidade e a leitura autônoma da criança em fase de alfabetização, traz vários versos de cantigas de capoeira, o toque mágico dos berimbaus e, no final, apresenta a história do surgimento e da difusão da capoeira como luta afro-brasileira.;;Manati;1ª;2008;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/230147?guid=1716213012589&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213012589%26quantidadePaginas%3d1%26codigoRegistro%3d230147%23230147&i=1;pt-BR;;infantil;27;;HETZEL,Bia. Berimbau mandou te chamar. São Paulo: Editora Manati,2008.;https://acervo.bn.gov.br/sophia_web/capa/capa/230147;Afro-brasileira
"""ABC afro-brasileiro""";;Carolina Cunha;Carolina Cunha;Culturas afro-brasileiras, palavras de origem africana;Axé, capoeira,dendê, ebó, Levante dos Malês, Menininha do Gantois e Yemanjá são alguns dos verbetes desse ABC, que compõe um retrato da herança africana na cultura brasileira, resgatando valores, costumes, tradições.;;SM;1ª;2009;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/246218?guid=1716213056925&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213056925%26quantidadePaginas%3d1%26codigoRegistro%3d246218%23246218&i=1;pt-BR;;infantojuvenil;48;;CUNHA, Carolina. ABC afro-brasileiro. São Paulo: Editora SM, 2009.;https://acervo.bn.gov.br/sophia_web/capa/capa/246218;Afro-brasileira
"""Os tesouros de Monifa""";;Sonia Rosa ;Rosinha Campos;Culturas afro-brasileiras, ancestralidade africana, escravidão;Fala do encontro de uma brasileirinha afrodescendente com sua tataravó, Monifa, que chegou aqui em um navio negreiro. Mesmo escravizada, aprendeu a escrever e, por meio das letras que aprendeu, deixou o maior de todos os tesouros que alguém pode herdar. Passado de geração em geração, chega o dia desse tesouro ir para as mãos de Monifa, que descobre a vida da sua tataravó e as suas próprias raízes.;;Brinque-Book;1ª;2009;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/228816?guid=1716213102081&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213102081%26quantidadePaginas%3d1%26codigoRegistro%3d228816%23228816&i=1;pt-BR;;infantojuvenil;29;;ROSA, Sonia. Os tesouros de Monifa, São Paulo: Brinque-Book, 2009.;https://acervo.bn.gov.br/sophia_web/capa/capa/228816;Afro-brasileira
"""As gueledés: a festa das máscaras""";;Raul Lody;Raul Lody;Culturas afro-brasileiras, máscaras africanas;São histórias de um tempo longínquo sobre o poder de luta da mulher africana presente até os nossos dias nas mulheres afrodescendentes. São mães africanas representadas nas máscaras que se transformam em ratos, pássaros e até mesmo em morcegos. Elas podem ser notadas no nosso dia a dia, nas palavras que usamos, na música, na dança, nas religiões, no artesanato e, especialmente, na culinária.;;Pallas ;1ª;2010;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/270813?guid=1716213146384&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213146384%26quantidadePaginas%3d1%26codigoRegistro%3d270813%23270813&i=1;pt-BR;;infantojuvenil;23;;LODY, Raul. As gueledés : a festa das máscaras. Rio de Janeiro: Pallas, 2010.;https://acervo.bn.gov.br/sophia_web/capa/capa/270813;Afro-brasileira
"""Histórias da Cazumbinha""";;Meire Cazumbá,  Marie Ange Bordas;Marie Ange Bordas;Culturas afro-brasileiras, Quilombolas, Bahia;Fala da história da menina chamada Cazumbinha. Ela nasceu no interior da Bahia, às margens do rio São Francisco, em um lugar muito especial: uma comunidade quilombola. Lá ela cresceu cantando, tomando banho de rio, pegando frutas na mata, subindo em árvore, correndo de boi.;;Companhia das Letrinhas;1ª;2010;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/294203?guid=1716213192966&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213192966%26quantidadePaginas%3d1%26codigoRegistro%3d294203%23294203&i=1;pt-BR;;infantojuvenil;71;;BORDAS, Marie Ange. CAZUMBÁ, Meire. Histórias da Cazumbinha. São Paulo: Companhia das Letrinhas, 2010.;https://acervo.bn.gov.br/sophia_web/capa/capa/294203;Afro-brasileira
"""O marimbondo do quilombro""";;Heloisa Pires Lima;Rubem Filho;Culturas afro-brasileiras, gingas, lendas;A ginga do muleke é fazer o carcará o levar de volta ao reino de Zambi. Foi num cochilo que as garras do pássaro o retiraram de lá. Daí, a busca por algo perdido - o muleke, o seu reino, o carcará, o seu calango. E o marimbondo? Este registra a história para não a perder também.;;Amarilys;1ª;2010;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/315628?guid=1716213229381&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213229381%26quantidadePaginas%3d1%26codigoRegistro%3d315628%23315628&i=1;pt-BR;;infantojuvenil;20;;LIMA, Heloisa Pires. O marimbondo do quilombro. Barueri, SP: Amarilys, 2010.;https://acervo.bn.gov.br/sophia_web/capa/capa/315628;Afro-brasileira
"""Mestre gato e comadre onça: uma história capoeira recontada""";;Carolina Cunha;Carolina Cunha;Culturas afro-brasileiras, capoeira, berimbau;Mestre gato, exímio capoeirista, se aventura no mundo com seu berimbau. Se embrenha na mata e e se depara com uma clareira ajeitada, boa para botar capoeira. Instala-se ali e coloca uma placa nessa árvore oferecendo aulas e logo chegam curiosos vários animais. “Venham vadiar, vamos jogar capoeira!”, convida ele. Mas eles temem a onça enorme que anda cercando a área.;;SM;1ª;2011;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/291521?guid=1716213271132&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213271132%26quantidadePaginas%3d1%26codigoRegistro%3d291521%23291521&i=1;pt-BR;;infantojuvenil;63;;CUNHA, Carolina. Mestre gato e comadre onça: uma história capoeira recontada.São Paulo: Edições SM, 2011.;https://acervo.bn.gov.br/sophia_web/capa/capa/291521;Afro-brasileira
"""O fio d'água do quilombo : uma narrativa do Zambeze no Amazonas?""";;Heloisa Pires Lima, Willivane Ferreira de Melo, Águida Maria Araújo de Vasconcelos;Não consta;Culturas afro-brasileiras, Amazonas, Rio Zambeze, lendas, quilombos;Fala de uma lenda amazônica muito semelhante ao do rio Zambeze africano, que conta do sumiço de ribeirinhos levados para o fundo das águas, e devolvidos com folhagens mágicas que fazem nascer o extraordinário curandeiro.;;Prumo;1ª;2013;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/954033?guid=1716213312550&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213312550%26quantidadePaginas%3d1%26codigoRegistro%3d954033%23954033&i=1;pt-BR;;infantojuvenil;63;;LIMA, Heloisa Pires, MELO, Willivane Ferreira de, VACONCELOS, Águida Maria Araújo de. O fio d'água do quilombo : uma narrativa do Zambeze no Amazonas?, São Paulo: Prumo, 2013.;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/954033?guid=1726348771782&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726348771782%26quantidadePaginas%3d1%26codigoRegistro%3d954033%23954033&i=1;Afro-brasileira
"""Awani""";;Carolina Cunha;Carolina Cunha;Culturas afro-brasileiras, Mitologia iorubá, Exu;As histórias apresentadas neste livro falam de Exu, nomeado guardião dos segredos e mensageiro dos deuses africanos do panteão iorubá, que também leva o nome de Awani.;;SM;2ª;2013;Físico;;https://www.amazon.com.br/Awani-Carolina-Cunha/dp/8541803317/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JI85TZAT2TRF&dib=eyJ2IjoiMSJ9.GIneG-nqVPiY8NNjLaMT0JsA67Cj7cNj49PrW6TzC50nw8hMv1XyoIKlRm43gRMqDSvpVuHtgwICtfWo2qBxA9YBduWZ0lCQYOqoHS81q1MV77hbzQJFb2qJv-O2Kgww5b_8d-YsklTgBoBsNUX1FZrGHV2V1cRsDcaKBOgo0To9G-H9REWNtusMUhy7kBfyGeboHmYN5GdXsTylxuAJGQ9LoRATMXmDVvRsw5ZVJ9S8PMInzXZXUuutPB6NTib2QcR-fHDp_Xivjya3Vlo-kCGttdmAwSrtnyHcZxqAaoQ.Wuxtv7-3lShN_bR_DKBo1SEGoeXzgOQ7BSKMoOgnPyw&dib_tag=se&keywords=Awani&qid=1716213504&sprefix=awani%2Caps%2C366&sr=8-1;pt-BR;;infantojuvenil;64;;CUNHA, Carolina. Awani. São Paulo: SM, 2013.;https://m.media-amazon.com/images/I/91VkFFvHy+L._SY425_.jpg;Afro-brasileira
"""Tutu-Moringa : história que tataravó contou""";;Elizabeth Rodrigues da Costa, Gabriela Romeu;Marilda Castanha;Culturas afro-brasileiras, lendas africanas, escravizados;Neste livro, Tataravó conta a seus netos a história de um dos muitos papões brasileiros: o Tutu-Moringa, que foi trazido da África pelos negros escravizados.;;Companhia das Letrinhas;1ª;2013;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/947348?guid=1716213548018&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213548018%26quantidadePaginas%3d1%26codigoRegistro%3d947348%23947348&i=1;pt-BR;;infantojuvenil;32;;COSTA, Elizabeth Rodrigues da, ROMEU, Gabriela. Tutu-Moringa: história que tataravó contou. São Paulo: Companhia das Letrinhas, 2013.;https://www.leonardodavinci.com.br/capas/991/9788574065991.jpg;Afro-brasileira
"""Ogum igbo igbo""";;Carolina Cunha;Carolina Cunha;Culturas afro-brasileiras, mitologia iorubá, Ogum, orixás;As histórias deste livro mostram a beleza e a força de Ogum. Orixá da força bélica, esse herói ensina os homens a trabalhar e a progredir, até nos momentos em que todos desistiriam. Seu coração guerreiro se enternece diante da bondade, mas também se revolta ao presenciar injustiça.;;SM;1ª;2014;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1599532?guid=1716213753370&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213753370%26quantidadePaginas%3d1%26codigoRegistro%3d1599532%231599532&i=1;pt-BR;;infantojuvenil;64;;CUNHA, Carolina. Ogum igbo igbo, São Paulo: Edições SM, 2014.;https://m.media-amazon.com/images/I/A1Lsai5-XZL._AC_UL320_.jpg;Afro-brasileira
