título;título_alternativo;criador;contribuidor;assunto;resumo;descrição;editora;edição;data;tipo;identificador;fonte;idioma;cobertura;nível_de_educação_da_audiência;extensão;direitos;citação_bibliográfica;arquivo;coleção;cleaned_titulo;cover_url
O papagaio que não gostava de mentiras;;Adilson Martins;Luciana Justiniano Hees;Fábulas africanas, Ancestralidade, Memória;O autor apresenta uma coleção de fábulas que vêm dos povos a que pertenceram nossos tataravós africanos.;;Pallas;1ª;2008;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/213599?guid=1711568725549&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711568725549%26quantidadePaginas%3d1%26codigoRegistro%3d213599%23213599&i=2;pt-BR;;infantojuvenil;40;;MARTINS,Adilson. O papagaio que não gostava de mentiras. Rio de Janeiro: Pallas, 2008.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/169/121_max.jpg;Africana;_o_papagaio_que_não_gostava_de;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/169/121_max.jpg
Kofi e o menino de fogo;;Nei Lopes;Héléne Moreau;Encontros, Amizade, Diferença;Kofi e o menino de fogo conta a história de um encontro entre dois garotos de lugares muito diferentes.;;Pallas;1ª;2008;Físico;;https://www.pallaseditora.com.br/produto/Kofi_e_o_menino_de_fogo/177/;pt-BR;;infantojuvenil;40;;LOPES, Nei.Kofi e o menino de fogo. Rio de Janeiro: Pallas, 2008.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/177/288_max.jpg;Africana;_kofi_e_o_menino_de_fogo_;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/177/288_max.jpg
 O senhor dos Pássaros: conto angolano;;Rogério  Andrade Barbosa;Salmo Dansa;Griôs, Conto angolano ;Kayondo, menino de uma aldeia de Angola, gosta de ouvir os contadores de histórias. Assim é que ele conhece a história do pequeno pássaro Ratete. Kayondo verá na perseverança do pássaro o exemplo para encorajar o pai, internado num hospital, a superar seus sofrimentos. ;;Melhoramentos;1ª;2006;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/186011?guid=1711760096709&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711760096709%26quantidadePaginas%3d1%26codigoRegistro%3d186011%23186011&i=2;pt-BR;;infantojuvenil;36;;BARBOSA, Rogério Andrade. O senhor dos passaros: conto angolano. São Paulo: Melhoramentos, 2006.;https://acervo.bn.gov.br/sophia_web/capa/capa/186011;Africana;__o_senhor_dos_pássaros__conto;https://acervo.bn.gov.br/sophia_web/capa/capa/186011
Bichos da África 3: lendas e fábulas;;Rogério  Andrade Barbosa;Ciça Fittipaldi; Lendas africanas, Reinos caninos, Rivalidade;O livro aborda duas lendas: A primeira conta a história de dois reinos caninos, rivais entre si. O chefe de um deles se apaixona pela irmã do outro e resolve entrar em guerra. Na segunda, uma tartaruga esperta resolve enganar os bichos da floresta para conseguir alimento;Série Bichos da África , 3;Melhoramentos;2ª;2010;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/269487?guid=1711761611923&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711761611923%26quantidadePaginas%3d1%26codigoRegistro%3d269487%23269487&i=4;pt-BR;;infantojuvenil;16;;BARBOSA,Rogério Andrade. Bichos da África: lendas efabúlas.São Paulo: Melhoramentos, 2010.;;Africana;_bichos_da_áfrica_3__lendas_e_;
Lila e o segredo da chuva;;David Conway;Jude Daly ;Culturas africanas, Lendas africanas,Geografia africana;O sol castigou a vila em que Lila morava durante muitos meses. Ninguém conseguia juntar lenha, capinar o jardim ou mesmo tirar o leite da vaca. Sem chuva, o poço começou a secar, e todas as plantações se perderam. Lila estava tão preocupada que, quando seu avô contou para ela, bem baixinho, sobre o segredo da chuva, ela saiu correndo para falar diretamente com o céu.;" Programa Acelera Brasil 2016 - Instituto Ayrton Senna
SME SP 2011 | Secretaria Municipal da Educação SEE SP Ler e Escrever 2012 | Secretaria Estadual da Educação
PNBE 2011 | Programa Nacional Biblioteca da Escola
SME BH 2023 | Secretaria Municipal de Educação de Belo Horizonte";Biruta;1ª;2010;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/258728?guid=1712438511094&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1712438511094%26quantidadePaginas%3d1%26codigoRegistro%3d258728%23258728&i=1;pt-BR;;infantojuvenil;32;;CONWAI, David. Lila e o segredo da chuva. São Paulo: Biruta, 2010.;https://acervo.bn.gov.br/sophia_web/capa/capa/258728;Africana;_lila_e_o_segredo_da_chuva_;https://acervo.bn.gov.br/sophia_web/capa/capa/258728
Raio de sol, raio de lua;;Celso Sisto;Mauricio Negro;Culturas africanas,Lendas africanas,Infância;Houve um tempo em que o Sol e a Lua eram crianças. Acompanhavam suas famílias às lavras, banhavam-se e brincavam no riacho. Mas tinham de abandonar a brincadeira quando chegava a hora de as mães aproveitarem as delícias das águas. Um dia, porém, a ordem mudou: as mães foram se refrescar antes das crianças, e o que acontece a seguir explica porque o Sol e a Lua são, hoje, astros que ornam o céu.;;Pruminho;1ª;2011;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/309228?guid=1712434467488&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1712434467488%26quantidadePaginas%3d1%26codigoRegistro%3d309228%23309228&i=7;pt-BR;;infantojuvenil;24;;SISTO, Celso. Raio de sol, raio de chuva. São Paul : Pruminho, 2011.;https://acervo.bn.gov.br/sophia_web/capa/capa/309228;Africana;_raio_de_sol__raio_de_lua_;https://acervo.bn.gov.br/sophia_web/capa/capa/309228
Toques de Griô;;Heloísa Pires Lima e Leila Leite Hernandez  ;Kaneaki Tada;Griôs, Cultura africana ancestral, Contos africananos,Mali;O livro aborda, em vinte e um capítulos, uma das mais importantes figuras de grande parte das culturas das Áfricas: o griô. Apresentado em muitos livros para crianças e jovens como um contador de histórias, o griô é uma espécie de guardião da memória das comunidades de ascendência africana.;;Melhoramentos;1ª;2011;Físico;9788506062715;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/305098?guid=1712434627461&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1712434627461%26quantidadePaginas%3d1%26codigoRegistro%3d305098%23305098&i=1;pt-BR;;infantojuvenil;120;;LIMA, Heloisa Pires. Toque de Griô. São Paulo : Melhoramentos, 2010. ;https://acervo.bn.gov.br/sophia_web/capa/capa/305098;Africana;_toques_de_griô_;https://acervo.bn.gov.br/sophia_web/capa/capa/305098
Ndule, Ndule:  assim brincam as crinças africanas;;Rogério Andrade Barbosa;Edu A. Engel;Brincadeiras  africanas, Infância  ;Os irmãos Korir e Chentai pesquisam com os amigos de toda a África as brincadeiras de que mais gostam;;Melhoramentos;1ª;2011;Físico;;https://acesse.one/KZwmq;pt-BR;;infantojuvenil;24;;BARBOSA, Rogério Andrade. Ndule, Ndule:  assim brincam as crinças africanas. São Paulo: Melhoramentos, 2011.;https://acervo.bn.gov.br/sophia_web/capa/capa/291245;Africana;_ndule__ndule___assim_brincam_;https://acervo.bn.gov.br/sophia_web/capa/capa/291245
 Bichos da África 1: lendas e fábulas;;Rogério  Andrade Barbosa;Ciça Fittipaldi;Lendas e fábulas africanas ;O primeiro volume da série Bichos da África conta duas fábulas: na primeira, uma mosca tenta ajudar a cobra, mas sem querer cria uma confusão tão grande que chega a incendiar a mata! Já na segunda, uma tartaruga e um leopardo caem na mesma armadilha. Como eles vão sair dessa?;;Melhoramentos;;2011;Físico;;;pt-BR;;infantojuvenil;16;;BARBOSA. Rogério Andrade. Bichos da África 1: lendas e fábulas. São Paulo: Melhoramentos, 2011.;;Africana;__bichos_da_áfrica_1__lendas_e;
A vassoura do ar encantado;;Zetho Cunha Gonçalves;Andrea Ebert;Lendas africanas, Cultura angolana, Saberes ancestrais ;São lendas africanas, com as quais nos deparamos com o aprendizado de valores familiares, sociais e ecológicos. As histórias passadas nas aldeias antigas, retratadas no livro, são metáforas que nos alertam para como é fácil esquecermos em nossa sociedade contemporânea os nossos mais profundos sentimentos.;;Pallas;;2012;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/320493?guid=1712436499818&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1712436499818%26quantidadePaginas%3d1%26codigoRegistro%3d320493%23320493&i=1;pt-BR;;infantojuvenil;44;;GONÇALVEZ, Zetho Cunha. A vassoura do ar encantado. Rio de Janeiro: Pallas,2012. ;https://acervo.bn.gov.br/sophia_web/capa/capa/320493;Africana;_a_vassoura_do_ar_encantado_;https://acervo.bn.gov.br/sophia_web/capa/capa/320493
 A bibicleta que tinha bigodes;;Ondjaki;;Radio Nacional de Angola, Infância, Política Nacional;A Rádio Nacional de Angola promove um concurso e oferece como grande prêmio uma bicicleta para a criança que escrever a melhor história. Esse é o pano de fundo para a ficção que nos remete à fantasia presente na infância – amizade, ternura, descobertas –, mas também ao reflexo nas crianças do processo político do país.;;Pallas;;2012;Físico;9788534704809;https://www.pallaseditora.com.br/produto/A_bicicleta_que_tinha_bigodes/234/;pt-BR;;infantojuvenil;92;;ONDJAKI. A bicicleta que tinha bigodes. Rio de Janeiro: Pallas, 2012. ;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/234/425_max.jpg;Africana;__a_bibicleta_que_tinha_bigode;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/234/425_max.jpg
O acaçá de cada um;;Celso Sisto;André Ebert;Histórias africanas, Violência, Esperteza, ;São histórias africanas que falam de temas difíceis mas que fazem parte da vida, como violência, crueldade, vingança e esperteza;;Galera Record;1ª;2012;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/330863?guid=1712436663161&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1712436663161%26quantidadePaginas%3d1%26codigoRegistro%3d330863%23330863&i=1;pt-BR;;infantojuvenil;48;;SISTO, Celso. O acaçá de cada um. Rio de Janeiro : Galera Record, 2012.;https://acervo.bn.gov.br/sophia_web/capa/capa/330863;Africana;_o_acaçá_de_cada_um_;https://acervo.bn.gov.br/sophia_web/capa/capa/330863
 A dona do fogo e da água;;Celso Sisto;Rubens Filho;Contos africanos, Filosofia africana ;A dona do fogo e da água é um conto que relata a briga de dois irmãos, filhos do Rei do Universo. Uma briga que provocou caos e terror na Terra;Série: Filosofia em conto;Mundo Mirim;1ª;2012;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/338130?guid=1712436725274&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1712436725274%26quantidadePaginas%3d1%26codigoRegistro%3d338130%23338130&i=1;pt-BR;;infantojuvenil;32;;SISTO, Celso. A dona do Fogo e da água. São Paulo : Mundo Mirim, 2012.;https://acervo.bn.gov.br/sophia_web/capa/capa/338130;Africana;__a_dona_do_fogo_e_da_água_;https://acervo.bn.gov.br/sophia_web/capa/capa/338130
Zambibar, a ilha assombrada  ;;Rogério Andrade Barbosa;Mauricio Negro;Contos assustadores de tradição oral africana; irmãozinho do pequeno Suleiman, de Zanzibar, sumiu. Apavorado, ele precisa encontrá-lo antes dos inimigos: Giningis, os pavorosos mortos-vivos, vibwengos, anõezinhos com força descomunal, chunusis, temidos fantasmas marinhos, e o terrível Popobawa, monstrengo repugnante. ;;Cortez;;2012;Físico;;https://www.cortezeditora.com.br/produto/zanzibar-a-ilha-assombrada-1216;pt-BR;;infantojuvenil;32;;BARBOSA, Rogério Andrade. Zambibar, a ilha assombrada. São Paulo: Cortez, 2012.;https://checkout.cortezeditora.com.br/resizer/view/420/420/false/true/708.jpg;Africana;_zambibar__a_ilha_assombrada_;https://checkout.cortezeditora.com.br/resizer/view/420/420/false/true/708.jpg
Exu e o  mentiroso ;;Rogério Athayde ;Clara Zúñiga;Mitologia Yoruba,Orixás,Exu ;Uma fábula sobre um das mais populares e controvertidas figuras da religiosidade africana. Em Exu e o mentiroso ele nos fala de um orixá que está sempre perto dos homens e pronto a ajudá-lo em suas dificuldades. Mesmo que seja preciso parar o tempo;;Pallas;1ª;2012;Físico;9788534704915;https://www.pallaseditora.com.br/produto/Exu_e_o_mentiroso/245/;pt-BR;;infantojuvenil;40;;ATHAIDY, Rogério. Exu e o Mentiroso. Rio de Janeiro: Pallas, 2012. ;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/245/441_max.jpg;Africana;_exu_e_o__mentiroso__;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/245/441_max.jpg
 Uma escuridão  bonita;;Ondjaki;António Jorge Gonçalves ;Cultura angolana,Juventude;Uma escuridão bonita fala da beleza dos encontros,  a história de um casal de jovens que aproveita a falta de luz em sua cidade para trocar algumas palavras sobre suas vidas e, assim, se descobrem aos poucos;;Pallas;1ª;2013;Físico;9788534705080;https://www.pallaseditora.com.br/produto/Uma_escuridao_bonita/259/;pt-BR;;Juvenil;110;;ONDJAKI. Uma escuridão bem bonita. Rio de Janeiro: Pallas, 2013;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/259/457_max.jpg;Africana;__uma_escuridão__bonita_;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/259/457_max.jpg
A força da Palmeira;;Anabella López;Anabella Lopez; Conto popular africano, Tradição Oral;Conto popular africano de Magreb, região norte da África, que fala da saga de uma palmeira que lutou contra o seu destino e venceu. Magreb significa lugar onde se põe o sol, o poente, a parte mais ocidental do mundo árabe. Ele é formado pelos países Marrocos, Tunísia, Argélia, Mauritânia, Saara Ocidental e Líbia;;Pallas;1ª;2014;Físico;9788567751023;https://www.pallaseditora.com.br/produto/A_forca_da_palmeira/270/;pt-BR;;infantojuvenil;44;;LÓPES, Anabella. A força da Palmeira.Rio de Janeiro: Pallas, 2014.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/270/471_max.jpg;Africana;_a_força_da_palmeira_;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/270/471_max.jpg
Ombela a origem das Chuvas;;Ondjaki;Rachel Caiano;Mitologia africana, Deuses africanos, Cultura angolana;Fala do mito de Ombela, uma deusa que, ao chorar de tristeza, fez nascer a chuva. Mas para que ela não fizesse mal aos que vivem na terra, Ombela resolveu chorar apenas nos mares. Mas o pai de Ombela ensina que chorar pode ser bom e tem hora para sorrir e hora para chorar. Ombela aprende que há tempo para tudo e, com a ajuda de seu pai, suas lágrimas doces e salgadas encontram outros lugares para ir todos os dias.;Prêmio Caxinde do Conto Infantil -2011;Pallas;1ª;2014;Físico;9788567751016;https://www.pallaseditora.com.br/produto/Ombela/269/;pt-BR;;infantojuvenil;36;;ONDJAKI. Ombela a origem das chuvas. Rio de Janeiro: Pallas,2014.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/269/689_max.jpg;Africana;_ombela_a_origem_das_chuvas_;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/269/689_max.jpg
Os vivos,  os mortos e o peixe- frito;;Ondjaki;Vânia Medeiros;Países lusófonos, Diversidade cultural,Temas cotidianos;É uma peça com treze personagens de origem lusófona: Angola, Moçambique, Guiné Bissau, São Tomé e Príncipe e Cabo Verde, todos dentro de um mesmo prédio em Portugal. Fala de temas cotidianos e de como a vida entrelaça as pessoas, agindo como uma grande teia de relacionamentos, que nos faz constatar a cada dia que passa o quanto esse mundo é pequeno. Os conflitos, as variedades culturais e as especificidades linguísticas deste verdadeiro mosaico de urgências, problemas em comum e afetos que se formam na condição de imigrantes em terras portuguesas.;;Pallas;1ª;2014;Físico;9788534705233;https://www.pallaseditora.com.br/produto/Os_vivos__o_morto_e_o_peixe-frito/280/;pt-BR;;juvenil;136;;ONDJAKI. Os vivos, os mortos e o peixe-frito. SãoPaulo: Pallas, 2014.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/280/540_max.jpg;Africana;_os_vivos___os_mortos_e_o_peix;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/280/540_max.jpg
Lendas de Exu;;Adilson Martins;Adilson Martins;Mitologias iorubá, Orixás,Exu;São lendas de Exu, esse deus africano com tantas qualidades conflitantes. Exu ora pode ser malicioso, ora simpático, ora moleque, ora justiceiro, tudo depende da forma como o tratamos e do respeito que a ele devotamos. Ao final, chegaremos a conclusão de que Exu pode ser muitos e múltiplo e, finalmente, é sábio e sedutor.;;Pallas;2ª;2014;Físico;9788534703840;https://www.pallaseditora.com.br/produto/Lendas_de_Exu/136/12/;pt-BR;;juvenil;163;;MARTINS, Adilson.Lendas de Exu. SãoPaulo:Pallas, 2014.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/136/89_max.jpg;Africana;_lendas_de_exu_;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/136/89_max.jpg
O presente de aniversário do Marajá;;James Rumford ;James Rumford ;Fábulas africanas;Esta é uma fábula de um grupo de animais que tenta encontrar o presente perfeito para oferecer ao marajá no dia do seu aniversário.;;Brinque-Book;1ª;2017;Físico;;Terminal - Sophia Biblioteca Web (bn.gov.br);pt-BR;;infantojuvenil;32;;RUMFORD, James. O presente de aniversário do Marajá. São Paulo: Brinque-Book, 2004.;https://acervo.bn.gov.br/sophia_web/capa/capa/185102;Africana;_o_presente_de_aniversário_do_;https://acervo.bn.gov.br/sophia_web/capa/capa/185102
O convidador de pirilampos;;Ondjaki;António Jorge Gonçalves ;Literatura angolana,Cotidiano;Neste livro, Ondjaki narra a história de um menino e seu avô que, com uma bela cumplicidade, compartilham descobertas da natureza pela observação e da “cientistação” das coisas. Este livro é inspirado na temática “estórias sem luz elétrica”.;;Pallas;1ª;2018;Físico;9788534705424;https://www.pallaseditora.com.br/busca/?keyword=o+convidador;pt-BR;;juvenil;64;;ONDJAKI. O convidador de Pirilampos. Rio de Janeiro: Pallas, 2018.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/300/643_max.jpg;Africana;_o_convidador_de_pirilampos_;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/300/643_max.jpg
 O filho querido de Olokun ;;Rogério Athayde;Clara Zuniga;Mitologia iorubá,Orixás;História de um pescador que se encontrou com o seu pai Olokun, no fundo do mar, a quem tanto devotava. Olokun lhe deu riqueza e atendeu aos seusdesejos. Porém, sua ganância não o fez perceber o que deixou para trás: sua vida simples e cheia de afetos com sua mulher e filha.;;Pallas;1ª;2018;Físico;9788534705431;https://www.pallaseditora.com.br/produto/O_filho_querido_de_Olokun/312/;pt-BR;;infantojuvenil;52;;ATHAYDE, Rogério. O filho querido de Olokun. Rio de Janeiro: Pallas, 2018.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/312/667_max.jpg;Africana;__o_filho_querido_de_olokun_;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/312/667_max.jpg
