título;título_alternativo;criador;contribuidor;assunto;resumo;descrição;editora;edição;data;tipo;identificador;fonte;idioma;cobertura;nível_de_educação_da_audiência;extensão;direitos;citação_bibliográfica;arquivo;collection
"""Os gêmeos do tambor: Reconto do povo Massai"" ";;Rogério  Andrade Barbosa;Ciça Fittipaldi; Recontos,  Povo Massai, Tambor;O reconto apresentado no livro inspirou-se na literatura oral africana, da cultura do povo massai,  e narra a trajetória de dois irmãos em busca do passado que os fez serem Os Gêmeos do Tambor.;;DCL ;1ª;2006;Físico;8536801069;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/188659?guid=1711566317239&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711566317239%26quantidadePaginas%3d1%26codigoRegistro%3d188659%23188659&i=1;pt-BR;;infantojuvenil;40;;BARBOSA, Rogério Andrade. Os gêmeos do tambor: Reconto do povo Massai. São Paulo: Difusão Cultural do Livro, 2006.;https://m.media-amazon.com/images/I/71aJph4EixL._SL1200_.jpg;africana
"""Outros contos africanos para crianças brasileiras""";;Rogério Andrade Barbosa;Mauricio Veneza ;Fábulas, Ensinamentos, Tradição africana;"Divertidas, as fábulas africanas educam, ensinam a respeitar os mais velhos e a seguir as tradições e enfatizam a força da inteligência.
";Acervo básico FNLIJ, categoria reconto 2006, Serie Árvore Falante.   Indicado para os anos iniciais do Ensino Fundamental 3º ano e 4º ano;Paulinas;1ª;2006;Físico;8535617758;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/191056?guid=1711566696887&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711566696887%26quantidadePaginas%3d1%26codigoRegistro%3d191056%23191056&i=2;pt-BR;;infantojuvenil;24;;BARBOSA, Rogério Andrade. Outros contos africanos para crianças brasileiras. São Paulo: Paulinas, 2006.;https://acervo.bn.gov.br/sophia_web/capa/capa/269448;africana
""" Debaixo do arco-íris não passa ninguém"" ";;Zetho Cunha Gonçalvez;Roberto Chichorro;Angola, Povos nganguela, tchokwé e bosquímano, Cuando,Cubango;Zetho Cunha Gonçalves, poeta angolano, criou, para um público infanto-juvenil, versos mediante diálogos com a tradição oral dos povos nganguela, tchokwé e bosquímano, que habitam a província do Cuando Cubango, no sudeste de Angola.;;Língua Geral;1ª;2006;Físico;9788560160075;https://www.livrariadavila.com.br/debaixo-do-arco-iris-nao-passa-ninguem-44812/p;pt-BR;;infantojuvenil;32;;GONÇALVEZ, Zetho Cunha. Debaixo do arco-íres não passa ninguém. São Paulo: Língua Geral, 2006. ;https://livrariadavila.vteximg.com.br/arquivos/ids/3412895-642-930/9788560160075.jpg?v=638245152282900000;africana
"""Mãe África: mitos, lendas fábulas e contos""";;Celso Sisto;Celso Sisto;Contos,  Mitos, Lendas, Lusofonia;Uma coletânea de 29 histórias originárias de diversos lugares da África, procurando privilegiar histórias ainda não publicadas em português;Série  Lendas e contos;Paulus;1ª;2007;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/203751?guid=1711567017306&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711567017306%26quantidadePaginas%3d1%26codigoRegistro%3d203751%23203751&i=1;pt-BR;;juvenil;144;;SISTO,Celso. Mãe África:mitos, lendas, fábulas e contos.São Paulo: Paulus, 2007.;https://m.media-amazon.com/images/I/71Emct+iw3L._SL1000_.jpg;africana
"""Lebre que é lebre não mia""";;Celso Sisto;Celso Sisto; Fábulas africanas;São quatro contos africanos que têm como personagem principal uma lebre ágil e esperta que sempre acaba conseguindo o que quer. ;Série Além das lendas;Escala Educacional;1ª;2007;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/198415?guid=1711567217379&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711567217379%26quantidadePaginas%3d1%26codigoRegistro%3d198415%23198415&i=8;pt-BR;;infantojuvenil;40;;SISTO, Celso. Lebre que é lebre não mia. São Paulo: Larousse Júnior, 2007.;https://acervo.bn.gov.br/sophia_web/capa/capa/198415;africana
""" Abc do continente""";;Rogério  Andrade Barbosa;Luciana Justiniano Hees;Continenete africano,Rio Nilo, Baobá;Por que o Nilo é o “rio da vida”? Por que a árvore baobá é chamada de “mãe”? Quais são os significados das danças e dos ornamentos africanos? Esse ABC apresenta cidades, vilarejos, grandes líderes, mitos e cores do continente africano;;SM;1ª;2007;Físico;9788576751748;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/181163?guid=1711567323858&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711567323858%26quantidadePaginas%3d1%26codigoRegistro%3d181163%23181163&i=1;pt-BR;;infantojuvenil;48;;BARBOSA, Rogério de Andrade. ABC do continente.SãoPaulo:S M, 2007.;https://m.media-amazon.com/images/I/918N-ZkdGzL._SL1500_.jpg;africana
"""Os da minha rua""";;Ondjaki;;Contos angolanos, autobiografia, Infância;O livro é uma coletânea de 22 contos que resgatam a infância do autor, vivida entre as década de 1970 e 1990, em Luanda, capital de Angola. Amigos, parentes, lugares e até mesmo cheiros aparecem nos pequenos textos, que podem ser lidos em separado ou como capítulos de um romance. É uma obra que exalta essa época da inocência e dos pequenos grandes descobrimentos de uma criança. Todos os contos são escritos em primeira pessoa e alguns revelam a influência da cultura brasileira no Sul da África oitentista, com citações ao cantor Roberto Carlos, ao escritor Gracilianos Ramos e às novelas “O Bem Amado” e “Roque Santeiro”.;;Pallas;2ª;2021;Físico;;Os da minha rua (pallaseditora.com.br);pt-BR;;juvenil;128;;ONDJAkI. Os da minha rua. Rio de Janeiro: Lingua Geral, 2007.;https://m.media-amazon.com/images/I/91e3tyic30L._SL1500_.jpg;africana
""" Seis pequenos contos africanos sobre a criação do mundo e do homem""";;Raul Lody;Raul Lody;Mitologia africana, deuses africanos;As seis histórias deste livro são uma amostra da sabedoria que o Brasil recebeu da África. Elas falam da criação do mundo e de alguns deuses africanos;;Pallas;1ª;2007;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/202525?guid=1711567633427&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711567633427%26quantidadePaginas%3d1%26codigoRegistro%3d202525%23202525&i=1;pt-BR;;infantojuvenil;32;;LODI, Raul. Seis pequenos contos africanos sobre a criação do mundo e do homem. Rio de Janeiro: Pallas, 2007.;https://acervo.bn.gov.br/sophia_web/capa/capa/202525;africana
""" Uma ideia luminosa""";;Rogério  Andrade Barbosa;Thaís Linhares;Continenete africano,Deserto;Uma grande lição de criatividade na inspiração que pode surgir quando nos afastamos por um momento do agitação do cotidiano.;;Pallas;1ª;2007;Físico;9788534704045;https://www.pallaseditora.com.br/busca/?keyword=uma+ideia+luminosa;pt-BR;;infantojuvenil;24;;BARBOSA, Rogério Andrade. Uma idéia luminosa. Rio de Janeiro: Pallas, 2007.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/161/176_max.jpg;africana
"""A Mbira da beira do rio zambese: canções do povo xona inspiram crianças brasileiras""";;Heloísa Pires Lima, Décio Gioielli, Marie Ange Bordas;Suppa;Zambeze,  Povo Xona, Zimbábue, Instrumento Mbira;"O Zambeze é um rio do Zimbábue, um país africano cujo nome significa ""morada das pedras"", Lá vive Chaka, um menino do povo Xona que gosta de tocar mbira, um instrumento que soa como as águas do rio e que agrada os vadzimu, espíritos protetores de seu povo. ";;Salamandra;1ª;2008;Físico;9788516055769;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/224597?guid=1711568484613&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711568484613%26quantidadePaginas%3d1%26codigoRegistro%3d224597%23224597&i=1;pt-BR;;infantojuvenil;48;;LIMA, Heloísa Pires. A Mbira da beira do rio zambese: canções do povo xona inspiram crianças brasileiras. São Paulo: Salamandra, 2008.;https://m.media-amazon.com/images/I/912zbO+JVXL._SL1500_.jpg;africana
"""Erinlé, o caçador e outros contos africanos""";;Adilson Martins;Luciana Justiniano Hees;Contos africanos, Fauna e flora ;São diversos contos onde os personagens têm nomes africanos e os animais e as plantas são nativos da África. Os lugares ficam na África, mas seus temas são universais;;Pallas;1ª;2008;Físico;9788534704182;https://www.pallaseditora.com.br/produto/Erinle__o_cacador/170/;pt-BR;;infantojuvenil;36;;MARTINS,Adilson. Erinlé, o caçador e outros contos africanos. Rio de Janeiro: Pallas, 2008.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/170/120_max.jpg;africana
"""Krokô e  galinhola: um conto africano""";;Maté  ;Maté;Conto africano, rio Luvironza;O dia acaba de amanhecer, e Galinhola já está ciscando à beira do rio Luvironza. Ela nem percebe que Krokô, um grande crocodilo esfomeado, está prestes a dar o bote. Será que Galinhola consegue escapar?;Ganhador do selo Altamente Recomendável FNLIJ;Brinque-Book;1ª;2008;Físico;9788574122502;https://www.companhiadasletras.com.br/livro/9788574122502/kroko-e-galinhola;pt-BR;;infantojuvenil;38;;MATÉ. Krokô e galinhola: um conto africano. São Paulo : Brinque-Book, 2008.;https://cdl-static.s3-sa-east-1.amazonaws.com/covers/gg/9788574122502/kroko-e-galinhola.jpg;africana
"""O papagaio que não gostava de mentiras""";;Adilson Martins;Luciana Justiniano Hees;Fábulas africanas, Ancestralidade, Memória;O autor apresenta uma coleção de fábulas que vêm dos povos a que pertenceram nossos tataravós africanos.;;Pallas;1ª;2008;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/213599?guid=1711568725549&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711568725549%26quantidadePaginas%3d1%26codigoRegistro%3d213599%23213599&i=2;pt-BR;;infantojuvenil;40;;MARTINS,Adilson. O papagaio que não gostava de mentiras. Rio de Janeiro: Pallas, 2008.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/169/121_max.jpg;africana
"""Kofi e o menino de fogo""";;Nei Lopes;Héléne Moreau;Encontros, Amizade, Diferença;Kofi e o menino de fogo conta a história de um encontro entre dois garotos de lugares muito diferentes.;;Pallas;1ª;2008;Físico;;https://www.pallaseditora.com.br/produto/Kofi_e_o_menino_de_fogo/177/;pt-BR;;infantojuvenil;40;;LOPES, Nei.Kofi e o menino de fogo. Rio de Janeiro: Pallas, 2008.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/177/288_max.jpg;africana
"""O comedor de nuvens""";;Heloísa Pires Lima;Suppa;Lenda africanas ,  Povo Achântis;No reino dos achântis ninguém passava fome, porque havia abundância de alimento: eles comiam nuvens, que naqueles tempos ficavam bem pertinho do chão. Certa vez, apareceu um comilão no reino que temperava aquele alimento e devorava, sem ao menos apreciar o sabor. As nuvens ficaram esquisitas e começaram a chorar. Choraram ininterruptamente que tudo foi inundado, afastando o Céu e as nuvens da Terra.;Série árvore falante;Salamandra;1ª;2009;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/245026?guid=1711758853969&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711758853969%26quantidadePaginas%3d1%26codigoRegistro%3d245026%23245026&i=1;pt-BR;;infantojuvenil;24;;LIMA, Heloisa Pires. O comedor de nuvens. São Paulo: Paulinas, 2009.;https://m.media-amazon.com/images/I/81G8YBO-c-L._SY425_.jpg;africana
"""Três contos africanos de advinhação""";;Rogério  Andrade Barbosa;Mauricio Veneza ;Contos africanos, Nigeria;A proposta do livro é de recontar três narrativas recolhidas da literatura oral nigeriana e de interagir com o leitor, desafiando-o a solucionar os enigmas apresentados às personagens, antes do desfecho das histórias;;Paullinas ;1ª;2009;Físico;;https://www.paulinas.com.br/produto/tres-contos-africanos-de-adivinhacao-1676;pt-BR;;infantojuvenil;24;;BARBOSA,Rogério Andrade. Três  contos africanos de advinhação. SãoPaulo: Paulinas, 2009.;https://checkout.paulinas.com.br/resizer/view/410/410/true/false/112.jpg;africana
"""Histórias que contaram em Luanda""";;Rogério  Andrade Barbosa;Jô Oliveira;Histórias orais, Angola, Fábulas;O livro traz algumas histórias orais de Angola: o conto Domikalinga fala sobre uma mulher grávida que promete doar seu bebê a quem lhe ajudar a buscar água na fonte. Em O grande desafio, um dono de terras que promete a mão da filha em casamento ao homem ou animal que conseguir pegar uma folha no alto da árvore mais alta do lugar. E a fábula O leão, a ovelha e o macaco traz uma metáfora sobre as possibilidades de ações humanas diante da malícia de pessoas falsas, que camuflam a má intenção em atitudes que podem parecer boas e inocentes.;Série arca de Noé;FTD;1ª;2009;Físico;9788532271549;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/237405?guid=1711759001299&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711759001299%26quantidadePaginas%3d1%26codigoRegistro%3d237405%23237405&i=1;pt-BR;;infantojuvenil;40;;BARBOSA,Rogério Andrade.Histórias que contaram em Luanda.São Paulo: FTD, 2009.;https://img.travessa.com.br/livro/GR/4d/4d60ebc9-055d-47e4-9e92-f21d574b9d69.jpg;africana
""" O casamento da princesa""";;Celso Sisto;Simone Matias;Contos populares, África Ocidental, Tradição africana;Trata-se da adaptação de um conto popular originário da África Ocidental: O casamento da princesa;;Pruminho;1ª;2009;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/237001?guid=1711759472230&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711759472230%26quantidadePaginas%3d1%26codigoRegistro%3d237001%23237001&i=1;pt-BR;;infantojuvenil;31;;SISTO, Celso. O casamento da princesa. São Paulo: Pruminho, 2009.;https://m.media-amazon.com/images/I/910AaC-HYBL._SL1500_.jpg;africana
""" Meus contos africanos""";;Nelson Mandela;;Contos africanos, Povo san e khoi;"Em ""Meus Contos Africanos"", organizado pelo líder mundial Nelson Mandela, são encontrados contos tão antigos quanto a África, contos herdados dos povos san e khoi.";FNLIJ 2010 Categoria  Tradução/Adaptação Reconto;Martins Fontes;1ª;2009;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/231284?guid=1711759551385&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711759551385%26quantidadePaginas%3d2%26codigoRegistro%3d231284%23231284&i=29;pt-BR;;Infantojuvenil;149;;MANDELA, Nelson. Meus contos africanos.São Paulo: MartinsFontes, 2009.;https://m.media-amazon.com/images/I/81F9LGFjxXL._SY425_.jpg;africana
""" O senhor dos Pássaros: conto angolano""";;Rogério  Andrade Barbosa;Salmo Dansa;Griôs, Conto angolano ;Kayondo, menino de uma aldeia de Angola, gosta de ouvir os contadores de histórias. Assim é que ele conhece a história do pequeno pássaro Ratete. Kayondo verá na perseverança do pássaro o exemplo para encorajar o pai, internado num hospital, a superar seus sofrimentos. ;;Melhoramentos;1ª;2006;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/186011?guid=1711760096709&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711760096709%26quantidadePaginas%3d1%26codigoRegistro%3d186011%23186011&i=2;pt-BR;;infantojuvenil;36;;BARBOSA, Rogério Andrade. O senhor dos passaros: conto angolano. São Paulo: Melhoramentos, 2006.;https://acervo.bn.gov.br/sophia_web/capa/capa/186011;africana
"""Omo-Oba: histórias de princesas""";;Kiusam de Oliveira;Josias Marinho;Tradição  Ketu, Mitos, Empoderamento feminino;Livro que reconta mitos africanos, muito divulgados nas comunidades de tradição ketu, pouco conhecidos pelo público em geral e que reforçam os diferentes modos de ser femininos. Os seis mitos apresentados têm o objetivo de fortalecer a personalidade de meninas de todos os tempos.;;Mazza;1ª;2009;Físico;9788571604803;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/261444?guid=1711760461840&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711760461840%26quantidadePaginas%3d1%26codigoRegistro%3d261444%23261444&i=1;pt-BR;;infantojuvenil;48;;OLIVEIRA, Kiusam de. Omo-Oba: histórias de princesas. Belo Horizonte: Mazza, 2009.;https://m.media-amazon.com/images/I/51XwqzthC7L._SY445_SX342_.jpg;africana
"""Avó Dezanove e o segredo dos soviéticos""";;Ondjaki;;Autobiografia, Luanda-Angola, soviéticos ;A Praia do Bispo é um bairro tranquilo de Luanda: o velho pescador cuida de sua rede, o vendedor de gasolina espera um cliente que nunca chega, avó Agnette e avó Catarina conversam com a vizinha e ralham com os miúdos. As obras de um mausoléu, porém, transformam e ameaçam o cotidiano: soldados soviéticos comandam os trabalhos de construção do monumento, e o projeto de revitalização do local ameaça desalojar os moradores.;;Seguinte;1ª;2009;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/239435?guid=1711760688874&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711760688874%26quantidadePaginas%3d1%26codigoRegistro%3d239435%23239435&i=5;pt-BR;;infantojuvenil;192;;ONDJAKI. Avó Dezanove e o segredo dos soviéticos. São Paulo: Seguinte, 2015.;https://m.media-amazon.com/images/I/81mXTr+EUyL._SL1500_.jpg;africana
"""Obax""";;André Neves ;André Neves;Culturas africanas, Savana africana,Lendas;A obra remete à cultura de grupos étnicos do oeste africano, povos que, apesar das dificuldades oferecidas pela paisagem árida, exaltam alegria através das cores.;"Prêmio Jabuti 201,Selo Altamente Recomendável FNLIJ 2011  Prêmios e seleções:
Prêmio Jabuti 201
Revista Crescer 2011 
Selo Altamente Recomendável FNLIJ 2011 
Catálogo Bolonha 2011
Prefeitura BH 2012
 Itaú 2014 e 2018 
Livros Citados SP 2018
Material de apoio ao professor
http://media.brinquebook.com.br/blfa_files/obax_projeto.pdf. 
";Brinque-Book;1ª;2010;Físico;9788574122977;https://www.companhiadasletras.com.br/livro/9788574122977/obax;pt-BR;;infantojuvenil;36;;NEVEZ,Adilson .Obax. São Paulo: Brinque-Book, 2010.;https://cdl-static.s3-sa-east-1.amazonaws.com/covers/gg/9788574122977/obax.jpg;africana
"""Escola de Chuva""";;"James Rumford
";James Rumford;Culturas africanas, Chade, Educação, Escola;É o primeiro dia de aula em Kelo, no Chade, na África. As crianças caminham pela estrada, com a esperança de chegar e ganhar um caderno, um lápis e aprender a ler. Mas quando ele e as outras crianças chegam à escola, não há sala de aula nem carteiras. Apenas uma professora. A primeira lição é construir a escola. Uma história que nem as chuvas de verão levam embora.;"Prêmio norte-americano Oppenheim Toy Portfolio com o selo de ouro de melhor livro de 2010. Material de apoio ao professor: http://media.brinquebook.com.br/blfa_files/escola-chuva-projeto.pdf. 
";Brinque-Book;1ª;2010;Físico;9788574124018;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/922473?guid=1711760910796&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711760910796%26quantidadePaginas%3d1%26codigoRegistro%3d922473%23922473&i=1;pt-BR;;infantojuvenil;32;;RUMFORD, James. Escola de chuva. São Paulo: Brinque-Book, 2010.;https://cdl-static.s3-sa-east-1.amazonaws.com/covers/gg/9788574124018/escola-de-chuva.jpg;africana
